curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
169,arrow,high_school_selective_compulsory,arrow,primary,124
170,art,compulsory_education,art,primary,124
171,article,compulsory_education,article,primary,124
172,artificial,high_school_selective_compulsory,artificial,primary,124
173,artist,compulsory_education,artist,primary,124
174,as,compulsory_education,as,primary,124
175,ashamed,high_school_selective_compulsory,ashamed,primary,124
176,Asia,compulsory_education,Asia,primary,124
177,Asian,compulsory_education,Asian,primary,124
178,aside,high_school_selective_compulsory,aside,primary,124
179,ask,compulsory_education,ask,primary,124
180,asleep,compulsory_education,asleep,primary,124
181,aspect,high_school_compulsory,aspect,primary,124
182,assess,high_school_selective_compulsory,assess,primary,124
183,assign,high_school_selective_compulsory,assign,primary,124
184,assistant,high_school_selective_compulsory,assistant,primary,124
185,association,high_school_selective_compulsory,association,primary,125
186,assume,high_school_compulsory,assume,primary,125
187,assumption,high_school_selective_compulsory,assumption,primary,125
188,astonish,high_school_selective_compulsory,astonish,primary,125
189,astronaut,high_school_selective_compulsory,astronaut,primary,125
190,astronomer,high_school_selective_compulsory,astronomer,primary,125
191,at,compulsory_education,at,primary,125
192,athlete,high_school_compulsory,athlete,primary,125
193,Atlantic,high_school_compulsory,Atlantic,primary,125
194,atmosphere,high_school_selective_compulsory,atmosphere,primary,125
195,attach,high_school_compulsory,attach,primary,125
196,attack,high_school_compulsory,attack,primary,125
197,attain,high_school_selective_compulsory,attain,primary,125
198,attempt,high_school_compulsory,attempt,primary,125
199,attend,compulsory_education,attend,primary,125
200,attention,compulsory_education,attention,primary,125
201,attitude,high_school_compulsory,attitude,primary,125
202,attract,high_school_compulsory,attract,primary,125
203,audience,high_school_compulsory,audience,primary,125
204,August,compulsory_education,August,primary,125
205,aunt,compulsory_education,aunt,primary,125
206,Australia,compulsory_education,Australia,primary,125
207,Australian,compulsory_education,Australian,primary,125
208,author,high_school_compulsory,author,primary,125
209,authority,high_school_compulsory,authority,primary,125
210,automatic,high_school_selective_compulsory,automatic,primary,125
211,autonomous,high_school_selective_compulsory,autonomous,primary,125
212,autumn,compulsory_education,autumn,primary,125
213,available,high_school_selective_compulsory,available,primary,125
214,average,high_school_compulsory,average,primary,125
215,avoid,compulsory_education,avoid,primary,125
216,awake,compulsory_education,awake,primary,125
217,award,high_school_compulsory,award,primary,125
218,aware,high_school_compulsory,aware,primary,125
219,away,compulsory_education,away,primary,125
220,awesome,high_school_selective_compulsory,awesome,primary,125
221,awful,compulsory_education,awful,primary,125
222,awkward,high_school_compulsory,awkward,primary,125
223,baby,compulsory_education,baby,primary,125
224,back,compulsory_education,back,primary,125
225,background,compulsory_education,background,primary,125
226,backward,high_school_selective_compulsory,backward,primary,125
227,bacon,high_school_selective_compulsory,bacon,primary,125
228,bad,compulsory_education,bad,primary,125
229,badminton,high_school_compulsory,badminton,primary,125
230,bag,compulsory_education,bag,primary,125
231,bakery,high_school_selective_compulsory,bakery,primary,125
232,balance,high_school_compulsory,balance,primary,125
233,ball,compulsory_education,ball,primary,125
234,ballet,high_school_compulsory,ballet,primary,125
235,balloon,compulsory_education,balloon,primary,125
236,bamboo,compulsory_education,bamboo,primary,125
237,ban,high_school_selective_compulsory,ban,primary,125
238,banana,compulsory_education,banana,primary,125
239,band,high_school_compulsory,band,primary,126
240,bank,compulsory_education,bank,primary,126
241,bar,high_school_compulsory,bar,primary,126
242,barbecue,high_school_selective_compulsory,barbecue,primary,126
243,barely,high_school_selective_compulsory,barely,primary,126
244,bark,high_school_selective_compulsory,bark,primary,126
