curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
571,communist,high_school_selective_compulsory,communist,primary,131
572,community,compulsory_education,community,primary,131
573,company,high_school_compulsory,company,primary,132
574,compare,compulsory_education,compare,primary,132
575,comparison,high_school_selective_compulsory,comparison,primary,132
576,compete,high_school_selective_compulsory,compete,primary,132
577,competence,high_school_selective_compulsory,competence,primary,132
578,competition,compulsory_education,competition,primary,132
579,complain,high_school_selective_compulsory,complain,primary,132
580,complete,compulsory_education,complete,primary,132
581,complex,high_school_selective_compulsory,complex,primary,132
582,complicated,high_school_selective_compulsory,complicated,primary,132
583,component,high_school_selective_compulsory,component,primary,132
584,compose,high_school_selective_compulsory,compose,primary,132
585,composition,high_school_selective_compulsory,composition,primary,132
586,comprehension,high_school_selective_compulsory,comprehension,primary,132
587,comprehensive,high_school_selective_compulsory,comprehensive,primary,132
588,comprise,high_school_selective_compulsory,comprise,primary,132
589,computer,compulsory_education,computer,primary,132
590,concentrate,high_school_compulsory,concentrate,primary,132
591,concept,high_school_selective_compulsory,concept,primary,132
592,concern,high_school_compulsory,concern,primary,132
593,concert,compulsory_education,concert,primary,132
594,conclude,high_school_selective_compulsory,conclude,primary,132
595,conclusion,high_school_selective_compulsory,conclusion,primary,132
596,concrete,high_school_selective_compulsory,concrete,primary,132
597,condition,compulsory_education,condition,primary,132
598,conduct,high_school_compulsory,conduct,primary,132
599,conference,high_school_compulsory,conference,primary,132
600,confidence,high_school_compulsory,confidence,primary,132
601,confirm,high_school_compulsory,confirm,primary,132
602,conflict,high_school_selective_compulsory,conflict,primary,132
603,Confucianism,high_school_selective_compulsory,Confucianism,primary,132
604,Confucius,high_school_selective_compulsory,Confucius,primary,132
605,confused,high_school_selective_compulsory,confused,primary,132
606,congratulation,high_school_compulsory,congratulation,primary,132
607,connect,compulsory_education,connect,primary,132
608,consequence,high_school_selective_compulsory,consequence,primary,132
609,conservation,high_school_selective_compulsory,conservation,primary,132
610,consider,compulsory_education,consider,primary,132
611,consist,high_school_selective_compulsory,consist,primary,132
612,consistent,high_school_selective_compulsory,consistent,primary,132
613,constant,high_school_selective_compulsory,constant,primary,132
614,constitution,high_school_selective_compulsory,constitution,primary,132
615,construction,high_school_selective_compulsory,construction,primary,132
616,consultant,high_school_selective_compulsory,consultant,primary,132
617,consultation,high_school_selective_compulsory,consultation,primary,132
618,consume,high_school_selective_compulsory,consume,primary,132
619,consumption,high_school_selective_compulsory,consumption,primary,132
620,contact,high_school_compulsory,contact,primary,132
621,contain,high_school_compulsory,contain,primary,132
622,contemporary,high_school_selective_compulsory,contemporary,primary,132
623,content,high_school_compulsory,content,primary,132
624,contest,high_school_selective_compulsory,contest,primary,132
625,context,high_school_compulsory,context,primary,132
626,continent,high_school_compulsory,continent,primary,132
627,continue,compulsory_education,continue,primary,132
628,contract,high_school_selective_compulsory,contract,primary,132
629,contradictory,high_school_selective_compulsory,contradictory,primary,133
630,contrary,high_school_selective_compulsory,contrary,primary,133
631,contrast,high_school_selective_compulsory,contrast,primary,133
632,contribution,high_school_compulsory,contribution,primary,133
633,control,compulsory_education,control,primary,133
634,convenient,high_school_compulsory,convenient,primary,133
635,conventional,high_school_selective_compulsory,conventional,primary,133
636,conversation,compulsory_education,conversation,primary,133
637,convince,high_school_selective_compulsory,convince,primary,133
638,cook,compulsory_education,cook,primary,133
639,cookie,compulsory_education,cookie,primary,133
640,cool,compulsory_education,cool,primary,133
641,cooperate,high_school_selective_compulsory,cooperate,primary,133
642,copy,compulsory_education,copy,primary,133
643,core,high_school_selective_compulsory,core,primary,133
644,corn,compulsory_education,corn,primary,133
645,corner,compulsory_education,corner,primary,133
646,corporate,high_school_selective_compulsory,corporate,primary,133
647,correct,compulsory_education,correct,primary,133
648,correspond,high_school_selective_compulsory,correspond,primary,133
649,cost,compulsory_education,cost,primary,133
650,costume,high_school_selective_compulsory,costume,primary,133
651,cottage,high_school_selective_compulsory,cottage,primary,133
652,cotton,high_school_selective_compulsory,cotton,primary,133
653,cough,compulsory_education,cough,primary,133
654,could,compulsory_education,could,primary,133
655,council,high_school_selective_compulsory,council,primary,133
656,count,compulsory_education,count,primary,133
657,country,compulsory_education,country,primary,133
658,countryside,compulsory_education,countryside,primary,133
659,county,high_school_compulsory,county,primary,133
660,couple,compulsory_education,couple,primary,133
661,courage,compulsory_education,courage,primary,133
662,course,compulsory_education,course,primary,133
663,court,high_school_compulsory,court,primary,133
664,cousin,compulsory_education,cousin,primary,133
665,cover,compulsory_education,cover,primary,133
666,coverage,high_school_selective_compulsory,coverage,primary,133
667,cow,compulsory_education,cow,primary,133
668,crash,high_school_compulsory,crash,primary,133
669,crayon,compulsory_education,crayon,primary,133
670,crazy,compulsory_education,crazy,primary,133
671,cream,high_school_selective_compulsory,cream,primary,133
672,create,compulsory_education,create,primary,133
673,creative,high_school_compulsory,creative,primary,133
674,creature,high_school_selective_compulsory,creature,primary,133
675,credit,high_school_compulsory,credit,primary,133
676,crew,high_school_selective_compulsory,crew,primary,133
677,crime,high_school_selective_compulsory,crime,primary,133
678,crisis,high_school_selective_compulsory,crisis,primary,133
679,criterion (pl. criteria),high_school_selective_compulsory,criterion,primary,133
679,criterion (pl. criteria),high_school_selective_compulsory,criteria,inflection_variant,133
680,critical,high_school_selective_compulsory,critical,primary,133
681,criticise (criticize),high_school_selective_compulsory,criticise,primary,133
681,criticise (criticize),high_school_selective_compulsory,criticize,parenthetical_variant,133
682,crop,high_school_selective_compulsory,crop,primary,133
683,cross,compulsory_education,cross,primary,133
684,crowd,high_school_compulsory,crowd,primary,133
685,crucial,high_school_selective_compulsory,crucial,primary,134
686,cruel,high_school_selective_compulsory,cruel,primary,134
687,cry,compulsory_education,cry,primary,134
688,cuisine,high_school_selective_compulsory,cuisine,primary,134
689,culture,compulsory_education,culture,primary,134
690,cup,compulsory_education,cup,primary,134
691,cupboard,high_school_selective_compulsory,cupboard,primary,134
692,cure,high_school_compulsory,cure,primary,134
693,curious,high_school_compulsory,curious,primary,134
694,current,high_school_compulsory,current,primary,134
695,curtain,high_school_selective_compulsory,curtain,primary,134
696,custom,high_school_compulsory,custom,primary,134
697,customer,compulsory_education,customer,primary,134
698,cut,compulsory_education,cut,primary,134
699,cute,compulsory_education,cute,primary,134
700,cycle,high_school_selective_compulsory,cycle,primary,134
701,daily,compulsory_education,daily,primary,134
702,damage,high_school_selective_compulsory,damage,primary,134
703,damp,high_school_selective_compulsory,damp,primary,134
704,dance,compulsory_education,dance,primary,134
705,danger,compulsory_education,danger,primary,134
706,dangerous,compulsory_education,dangerous,primary,134
707,dare,high_school_selective_compulsory,dare,primary,134
708,dark,compulsory_education,dark,primary,134
709,data,high_school_compulsory,data,primary,134
710,database,high_school_selective_compulsory,database,primary,134
711,date,compulsory_education,date,primary,134
712,daughter,compulsory_education,daughter,primary,134
713,day,compulsory_education,day,primary,134
714,dead,compulsory_education,dead,primary,134
715,deadline,high_school_selective_compulsory,deadline,primary,134
716,deaf,compulsory_education,deaf,primary,134
717,deal,compulsory_education,deal,primary,134
718,dear,compulsory_education,dear,primary,134
719,death,high_school_compulsory,death,primary,134
720,debate,high_school_selective_compulsory,debate,primary,134
721,debt,high_school_selective_compulsory,debt,primary,134
722,decade,high_school_selective_compulsory,decade,primary,134
723,December,compulsory_education,December,primary,134
724,decent,high_school_selective_compulsory,decent,primary,134
725,decide,compulsory_education,decide,primary,134
726,decision,compulsory_education,decision,primary,134
727,declare,high_school_compulsory,declare,primary,134
728,decline,high_school_selective_compulsory,decline,primary,134
729,decorate,high_school_compulsory,decorate,primary,134
730,decrease,high_school_selective_compulsory,decrease,primary,134
731,deep,compulsory_education,deep,primary,134
732,deer,high_school_compulsory,deer,primary,134
733,defeat,high_school_selective_compulsory,defeat,primary,134
734,defence (defense),high_school_compulsory,defence,primary,134
734,defence (defense),high_school_compulsory,defense,parenthetical_variant,134
735,defend,high_school_selective_compulsory,defend,primary,134
736,definitely,high_school_compulsory,definitely,primary,134
737,definition,high_school_selective_compulsory,definition,primary,134
738,degree,compulsory_education,degree,primary,134
739,delay,high_school_selective_compulsory,delay,primary,135
740,delete,high_school_selective_compulsory,delete,primary,135
741,delicate,high_school_selective_compulsory,delicate,primary,135
742,delicious,compulsory_education,delicious,primary,135
743,deliver,high_school_compulsory,deliver,primary,135
744,demand,high_school_selective_compulsory,demand,primary,135
745,demonstrate,high_school_selective_compulsory,demonstrate,primary,135
746,dentist,high_school_selective_compulsory,dentist,primary,135
747,deny,high_school_selective_compulsory,deny,primary,135
748,department,high_school_selective_compulsory,department,primary,135
749,departure,high_school_selective_compulsory,departure,primary,135
750,depend,compulsory_education,depend,primary,135
751,depress,high_school_selective_compulsory,depress,primary,135
752,depth,high_school_selective_compulsory,depth,primary,135
753,describe,compulsory_education,describe,primary,135
754,description,high_school_compulsory,description,primary,135
755,desert,high_school_compulsory,desert,primary,135
756,deserve,high_school_selective_compulsory,deserve,primary,135
757,design,high_school_compulsory,design,primary,135
758,desire,high_school_compulsory,desire,primary,135
759,desk,compulsory_education,desk,primary,135
760,desperate,high_school_selective_compulsory,desperate,primary,135
761,despite,high_school_compulsory,despite,primary,135
762,dessert,high_school_selective_compulsory,dessert,primary,135
763,destination,high_school_compulsory,destination,primary,135
764,destroy,high_school_compulsory,destroy,primary,135
765,detail,high_school_compulsory,detail,primary,135
766,detect,high_school_selective_compulsory,detect,primary,135
767,detective,high_school_selective_compulsory,detective,primary,135
768,determine,high_school_compulsory,determine,primary,135
769,develop,compulsory_education,develop,primary,135
770,development,compulsory_education,development,primary,135
771,device,high_school_selective_compulsory,device,primary,135
772,devote,high_school_selective_compulsory,devote,primary,135
773,diagram,high_school_compulsory,diagram,primary,135
774,dialogue (dialog),compulsory_education,dialogue,primary,135
774,dialogue (dialog),compulsory_education,dialog,parenthetical_variant,135
775,diamond,high_school_selective_compulsory,diamond,primary,135
776,diary,compulsory_education,diary,primary,135
777,dictionary,compulsory_education,dictionary,primary,135
778,die,compulsory_education,die,primary,135
779,diet,high_school_compulsory,diet,primary,135
780,differ,high_school_selective_compulsory,differ,primary,135
781,difference,compulsory_education,difference,primary,135
782,different,compulsory_education,different,primary,135
783,difficult,compulsory_education,difficult,primary,135
784,difficulty,compulsory_education,difficulty,primary,135
785,dig,compulsory_education,dig,primary,135
786,digest,high_school_selective_compulsory,digest,primary,135
787,digital,high_school_compulsory,digital,primary,135
788,dignity,high_school_selective_compulsory,dignity,primary,135
789,dimension,high_school_selective_compulsory,dimension,primary,135
790,dining,compulsory_education,dining,primary,135
791,dinner,compulsory_education,dinner,primary,135
792,dinosaur,high_school_compulsory,dinosaur,primary,135
793,direct,compulsory_education,direct,primary,135
794,direction,compulsory_education,direction,primary,135
795,director,compulsory_education,director,primary,136
796,directory,high_school_selective_compulsory,directory,primary,136
797,dirty,compulsory_education,dirty,primary,136
798,disability,high_school_selective_compulsory,disability,primary,136
799,disabled,high_school_selective_compulsory,disabled,primary,136
800,disappear,high_school_compulsory,disappear,primary,136
801,disappointed,high_school_selective_compulsory,disappointed,primary,136
802,disaster,high_school_compulsory,disaster,primary,136
803,discipline,high_school_selective_compulsory,discipline,primary,136
804,discount,high_school_selective_compulsory,discount,primary,136
805,discover,compulsory_education,discover,primary,136
806,discovery,compulsory_education,discovery,primary,136
807,discrimination,high_school_selective_compulsory,discrimination,primary,136
808,discuss,compulsory_education,discuss,primary,136
809,discussion,compulsory_education,discussion,primary,136
810,disease,high_school_compulsory,disease,primary,136
811,dish,compulsory_education,dish,primary,136
812,disk (disc),high_school_selective_compulsory,disk,primary,136
812,disk (disc),high_school_selective_compulsory,disc,parenthetical_variant,136
813,dismiss,high_school_selective_compulsory,dismiss,primary,136
814,display,high_school_selective_compulsory,display,primary,136
815,distance,high_school_compulsory,distance,primary,136
816,distant,high_school_selective_compulsory,distant,primary,136
817,distinct,high_school_selective_compulsory,distinct,primary,136
818,distinguish,high_school_selective_compulsory,distinguish,primary,136
819,distribution,high_school_selective_compulsory,distribution,primary,136
820,district,high_school_selective_compulsory,district,primary,136
821,disturb,high_school_selective_compulsory,disturb,primary,136
822,dive,high_school_selective_compulsory,dive,primary,136
823,diverse,high_school_selective_compulsory,diverse,primary,136
824,divide,compulsory_education,divide,primary,136
825,division,high_school_selective_compulsory,division,primary,136
826,dizzy,high_school_selective_compulsory,dizzy,primary,136
827,do,compulsory_education,do,primary,136
828,doctor,compulsory_education,doctor,primary,136
829,document,high_school_compulsory,document,primary,136
830,dog,compulsory_education,dog,primary,136
831,dollar,compulsory_education,dollar,primary,136
832,dolphin,high_school_compulsory,dolphin,primary,136
833,domain,high_school_selective_compulsory,domain,primary,136
834,domestic,high_school_selective_compulsory,domestic,primary,136
835,dominate,high_school_selective_compulsory,dominate,primary,136
836,donate,high_school_compulsory,donate,primary,136
837,door,compulsory_education,door,primary,136
838,dormitory,high_school_selective_compulsory,dormitory,primary,136
839,double,compulsory_education,double,primary,136
840,doubt,compulsory_education,doubt,primary,136
841,down,compulsory_education,down,primary,136
842,download,high_school_compulsory,download,primary,136
843,downstairs,high_school_compulsory,downstairs,primary,136
844,downtown,high_school_compulsory,downtown,primary,136
845,dozen,high_school_selective_compulsory,dozen,primary,136
846,draft,high_school_selective_compulsory,draft,primary,136
847,drag,high_school_selective_compulsory,drag,primary,136
848,dragon,high_school_compulsory,dragon,primary,136
849,drama,high_school_selective_compulsory,drama,primary,136
850,dramatic,high_school_selective_compulsory,dramatic,primary,136
851,draw,compulsory_education,draw,primary,137
852,drawer,high_school_selective_compulsory,drawer,primary,137
853,dream,compulsory_education,dream,primary,137
854,dress,compulsory_education,dress,primary,137
855,drill,high_school_selective_compulsory,drill,primary,137
856,drink,compulsory_education,drink,primary,137
857,drive,compulsory_education,drive,primary,137
858,driver,compulsory_education,driver,primary,137
859,drop,compulsory_education,drop,primary,137
860,drought,high_school_compulsory,drought,primary,137
861,drug,high_school_selective_compulsory,drug,primary,137
862,dry,compulsory_education,dry,primary,137
863,duck,compulsory_education,duck,primary,137
864,due to,high_school_compulsory,due to,primary,137
865,dumpling,compulsory_education,dumpling,primary,137
866,duration,high_school_selective_compulsory,duration,primary,137
867,during,compulsory_education,during,primary,137
868,dust,high_school_selective_compulsory,dust,primary,137
869,duty,high_school_compulsory,duty,primary,137
870,dynamic,high_school_selective_compulsory,dynamic,primary,137
871,dynasty,high_school_selective_compulsory,dynasty,primary,137
872,each,compulsory_education,each,primary,137
873,eager,high_school_compulsory,eager,primary,137
874,eagle,high_school_selective_compulsory,eagle,primary,137
875,ear,compulsory_education,ear,primary,137
876,early,compulsory_education,early,primary,137
877,earn,high_school_compulsory,earn,primary,137
878,earth,compulsory_education,earth,primary,137
879,earthquake,compulsory_education,earthquake,primary,137
880,ease,high_school_selective_compulsory,ease,primary,137
881,east,compulsory_education,east,primary,137
882,eastern,compulsory_education,eastern,primary,137
883,easy,compulsory_education,easy,primary,137
884,eat,compulsory_education,eat,primary,137
885,ecology,high_school_selective_compulsory,ecology,primary,137
886,economic,high_school_selective_compulsory,economic,primary,137
887,edge,high_school_selective_compulsory,edge,primary,137
888,editor,high_school_compulsory,editor,primary,137
889,education,compulsory_education,education,primary,137
890,educator,high_school_selective_compulsory,educator,primary,137
891,effect,high_school_compulsory,effect,primary,137
892,efficient,high_school_selective_compulsory,efficient,primary,137
893,effort,high_school_compulsory,effort,primary,137
894,egg,compulsory_education,egg,primary,137
895,eight,compulsory_education,eight,primary,137
896,eighteen,compulsory_education,eighteen,primary,137
897,eighth,compulsory_education,eighth,primary,137
898,eighty,compulsory_education,eighty,primary,137
899,either,compulsory_education,either,primary,137
900,elder,compulsory_education,elder,primary,137
901,elderly,high_school_selective_compulsory,elderly,primary,137
902,election,high_school_selective_compulsory,election,primary,137
903,electricity,high_school_compulsory,electricity,primary,137
904,electronic,compulsory_education,electronic,primary,137
905,elegant,high_school_selective_compulsory,elegant,primary,138
906,element,high_school_compulsory,element,primary,138
907,elephant,compulsory_education,elephant,primary,138
908,eleven,compulsory_education,eleven,primary,138
909,else,compulsory_education,else,primary,138
910,elsewhere,high_school_selective_compulsory,elsewhere,primary,138
911,email,compulsory_education,email,primary,138
912,embarrassed,high_school_selective_compulsory,embarrassed,primary,138
913,emerge,high_school_selective_compulsory,emerge,primary,138
914,emergency,high_school_selective_compulsory,emergency,primary,138
915,emotion,high_school_selective_compulsory,emotion,primary,138
916,emperor,high_school_selective_compulsory,emperor,primary,138
917,emphasis,high_school_selective_compulsory,emphasis,primary,138
918,employ,high_school_selective_compulsory,employ,primary,138
919,empty,compulsory_education,empty,primary,138
920,enable,high_school_compulsory,enable,primary,138
921,encounter,high_school_selective_compulsory,encounter,primary,138
922,encourage,compulsory_education,encourage,primary,138
923,end,compulsory_education,end,primary,138
924,enemy,compulsory_education,enemy,primary,138
925,energetic,high_school_compulsory,energetic,primary,138
926,energy,high_school_compulsory,energy,primary,138
927,engage,high_school_selective_compulsory,engage,primary,138
928,engine,high_school_compulsory,engine,primary,138
929,engineer,compulsory_education,engineer,primary,138
930,England,compulsory_education,England,primary,138
931,English,compulsory_education,English,primary,138
932,enhance,high_school_selective_compulsory,enhance,primary,138
933,enjoy,compulsory_education,enjoy,primary,138
934,enormous,high_school_selective_compulsory,enormous,primary,138
935,enough,compulsory_education,enough,primary,138
936,ensure,high_school_compulsory,ensure,primary,138
937,enter,compulsory_education,enter,primary,138
938,enterprise,high_school_selective_compulsory,enterprise,primary,138
939,entertainment,high_school_selective_compulsory,entertainment,primary,138
940,enthusiastic,high_school_selective_compulsory,enthusiastic,primary,138
941,entirely,high_school_compulsory,entirely,primary,138
942,entitle,high_school_selective_compulsory,entitle,primary,138
943,entrance,high_school_compulsory,entrance,primary,138
944,entry,high_school_selective_compulsory,entry,primary,138
945,envelope,high_school_compulsory,envelope,primary,138
946,environment,compulsory_education,environment,primary,138
947,envy,high_school_selective_compulsory,envy,primary,138
948,episode,high_school_selective_compulsory,episode,primary,138
949,equal,high_school_compulsory,equal,primary,138
950,equator,high_school_selective_compulsory,equator,primary,138
951,equipment,high_school_compulsory,equipment,primary,138
952,era,high_school_selective_compulsory,era,primary,138
953,eraser,compulsory_education,eraser,primary,138
954,error,high_school_compulsory,error,primary,138
955,erupt,high_school_compulsory,erupt,primary,138
956,escape,high_school_compulsory,escape,primary,138
957,especially,compulsory_education,especially,primary,138
958,essay,high_school_selective_compulsory,essay,primary,138
959,essential,high_school_selective_compulsory,essential,primary,138
960,establish,high_school_compulsory,establish,primary,138
961,estate,high_school_selective_compulsory,estate,primary,139
962,estimate,high_school_selective_compulsory,estimate,primary,139
963,Europe,compulsory_education,Europe,primary,139
964,European,compulsory_education,European,primary,139
965,evaluate,high_school_selective_compulsory,evaluate,primary,139
966,eve,high_school_compulsory,eve,primary,139
967,even,compulsory_education,even,primary,139
968,evening,compulsory_education,evening,primary,139
969,event,high_school_compulsory,event,primary,139
970,eventually,high_school_compulsory,eventually,primary,139
971,ever,compulsory_education,ever,primary,139
972,every,compulsory_education,every,primary,139
973,everybody,compulsory_education,everybody,primary,139
974,everyday,compulsory_education,everyday,primary,139
975,everyone,compulsory_education,everyone,primary,139
976,everything,compulsory_education,everything,primary,139
977,everywhere,compulsory_education,everywhere,primary,139
978,evidence,high_school_selective_compulsory,evidence,primary,139
979,exactly,compulsory_education,exactly,primary,139
980,exam (examination),compulsory_education,exam,primary,139
980,exam (examination),compulsory_education,examination,parenthetical_variant,139
981,examine,high_school_selective_compulsory,examine,primary,139
982,example,compulsory_education,example,primary,139
983,excellent,compulsory_education,excellent,primary,139
984,except,compulsory_education,except,primary,139
985,exceptional,high_school_selective_compulsory,exceptional,primary,139
986,exchange,high_school_compulsory,exchange,primary,139
987,excited,compulsory_education,excited,primary,139
988,exciting,compulsory_education,exciting,primary,139
989,excuse,compulsory_education,excuse,primary,139
990,exercise,compulsory_education,exercise,primary,139
991,exhibition,high_school_selective_compulsory,exhibition,primary,139
992,exist,high_school_compulsory,exist,primary,139
993,exit,high_school_compulsory,exit,primary,139
994,expand,high_school_selective_compulsory,expand,primary,139
995,expansion,high_school_selective_compulsory,expansion,primary,139
996,expect,compulsory_education,expect,primary,139
997,expectation,high_school_selective_compulsory,expectation,primary,139
998,expense,high_school_selective_compulsory,expense,primary,139
999,expensive,compulsory_education,expensive,primary,139
1000,experience,compulsory_education,experience,primary,139
1001,experiment,high_school_compulsory,experiment,primary,139
1002,expert,high_school_compulsory,expert,primary,139
1003,explain,compulsory_education,explain,primary,139
1004,explode,high_school_selective_compulsory,explode,primary,139
1005,explore,high_school_compulsory,explore,primary,139
1006,export,high_school_compulsory,export,primary,139
1007,expose,high_school_selective_compulsory,expose,primary,139
1008,exposure,high_school_selective_compulsory,exposure,primary,139
1009,express,compulsory_education,express,primary,139
1010,extend,high_school_selective_compulsory,extend,primary,139
1011,extension,high_school_selective_compulsory,extension,primary,139
1012,extent,high_school_compulsory,extent,primary,139
1013,external,high_school_compulsory,external,primary,139
1014,extinction,high_school_compulsory,extinction,primary,139
1015,extra,high_school_compulsory,extra,primary,139
1016,extraordinary,high_school_selective_compulsory,extraordinary,primary,139
1017,extremely,high_school_compulsory,extremely,primary,140
1018,eye,compulsory_education,eye,primary,140
1019,fabric,high_school_selective_compulsory,fabric,primary,140
1020,face,compulsory_education,face,primary,140
1021,facilitate,high_school_selective_compulsory,facilitate,primary,140
1022,facility,high_school_compulsory,facility,primary,140
1023,fact,compulsory_education,fact,primary,140
1024,factor,high_school_compulsory,factor,primary,140
1025,factory,compulsory_education,factory,primary,140
1026,fail,compulsory_education,fail,primary,140
1027,failure,high_school_compulsory,failure,primary,140
1028,fair,compulsory_education,fair,primary,140
1029,faith,high_school_selective_compulsory,faith,primary,140
1030,fall,compulsory_education,fall,primary,140
1031,false,high_school_selective_compulsory,false,primary,140
1032,familiar,high_school_compulsory,familiar,primary,140
1033,family,compulsory_education,family,primary,140
1034,famous,compulsory_education,famous,primary,140
1035,fan,compulsory_education,fan,primary,140
1036,fancy,high_school_compulsory,fancy,primary,140
1037,fantastic,compulsory_education,fantastic,primary,140
1038,fantasy,high_school_selective_compulsory,fantasy,primary,140
1039,far,compulsory_education,far,primary,140
1040,farm,compulsory_education,farm,primary,140
1041,farmer,compulsory_education,farmer,primary,140
1042,fashion,high_school_selective_compulsory,fashion,primary,140
1043,fast,compulsory_education,fast,primary,140
1044,fat,compulsory_education,fat,primary,140
1045,father (dad),compulsory_education,father,primary,140
1045,father (dad),compulsory_education,dad,parenthetical_variant,140
1046,fault,high_school_selective_compulsory,fault,primary,140
1047,favour (favor),high_school_selective_compulsory,favour,primary,140
1047,favour (favor),high_school_selective_compulsory,favor,parenthetical_variant,140
1048,favourite (favorite),compulsory_education,favourite,primary,140
1048,favourite (favorite),compulsory_education,favorite,parenthetical_variant,140
1049,fear,compulsory_education,fear,primary,140
1050,feature,high_school_compulsory,feature,primary,140
1051,February,compulsory_education,February,primary,140
1052,fee,high_school_selective_compulsory,fee,primary,140
1053,feed,compulsory_education,feed,primary,140
1054,feel,compulsory_education,feel,primary,140
1055,feeling,compulsory_education,feeling,primary,140
1056,fellow,high_school_selective_compulsory,fellow,primary,140
1057,female,high_school_compulsory,female,primary,140
1058,fence,high_school_selective_compulsory,fence,primary,140
1059,festival,compulsory_education,festival,primary,140
1060,fetch,high_school_selective_compulsory,fetch,primary,140
1061,fever,compulsory_education,fever,primary,140
1062,few,compulsory_education,few,primary,140
1063,fibre (fiber),high_school_selective_compulsory,fibre,primary,140
1063,fibre (fiber),high_school_selective_compulsory,fiber,parenthetical_variant,140
1064,fiction,high_school_selective_compulsory,fiction,primary,140
1065,field,compulsory_education,field,primary,140
1066,fifteen,compulsory_education,fifteen,primary,140
1067,fifth,compulsory_education,fifth,primary,140
1068,fifty,compulsory_education,fifty,primary,140
1069,fight,compulsory_education,fight,primary,140
1070,figure,high_school_compulsory,figure,primary,140
1071,file,high_school_compulsory,file,primary,141
1072,fill,compulsory_education,fill,primary,141
1073,film,compulsory_education,film,primary,141
1074,finally,compulsory_education,finally,primary,141
1075,finance,high_school_selective_compulsory,finance,primary,141
1076,financial,high_school_selective_compulsory,financial,primary,141
1077,find,compulsory_education,find,primary,141
1078,finding,high_school_selective_compulsory,finding,primary,141
1079,fine,compulsory_education,fine,primary,141
1080,finger,compulsory_education,finger,primary,141
1081,finish,compulsory_education,finish,primary,141
1082,fire,compulsory_education,fire,primary,141
1083,firm,high_school_selective_compulsory,firm,primary,141
1084,first,compulsory_education,first,primary,141
1085,fish,compulsory_education,fish,primary,141
1086,fisherman,compulsory_education,fisherman,primary,141
1087,fist,high_school_selective_compulsory,fist,primary,141
1088,fit,compulsory_education,fit,primary,141
1089,five,compulsory_education,five,primary,141
1090,fix,compulsory_education,fix,primary,141
1091,flag,compulsory_education,flag,primary,141
1092,flash,high_school_compulsory,flash,primary,141
1093,flat,high_school_compulsory,flat,primary,141
1094,flavour (flavor),high_school_selective_compulsory,flavour,primary,141
1094,flavour (flavor),high_school_selective_compulsory,flavor,parenthetical_variant,141
1095,flexible,high_school_compulsory,flexible,primary,141
1096,flight,high_school_compulsory,flight,primary,141
1097,flood,high_school_compulsory,flood,primary,141
1098,floor,compulsory_education,floor,primary,141
1099,flour,high_school_selective_compulsory,flour,primary,141
1100,flow,high_school_selective_compulsory,flow,primary,141
1101,flower,compulsory_education,flower,primary,141
1102,flu,high_school_selective_compulsory,flu,primary,141
1103,fluent,high_school_selective_compulsory,fluent,primary,141
1104,fly,compulsory_education,fly,primary,141
1105,focus,high_school_compulsory,focus,primary,141
1106,foggy,high_school_selective_compulsory,foggy,primary,141
1107,fold,high_school_selective_compulsory,fold,primary,141
1108,folk,high_school_selective_compulsory,folk,primary,141
1109,follow,compulsory_education,follow,primary,141
1110,fond,high_school_selective_compulsory,fond,primary,141
1111,food,compulsory_education,food,primary,141
1112,foot (pl. feet),compulsory_education,foot,primary,141
1112,foot (pl. feet),compulsory_education,feet,inflection_variant,141
1113,football,compulsory_education,football,primary,141
1114,for,compulsory_education,for,primary,141
1115,force,compulsory_education,force,primary,141
1116,forecast,high_school_selective_compulsory,forecast,primary,141
1117,forehead,high_school_selective_compulsory,forehead,primary,141
1118,foreign,compulsory_education,foreign,primary,141
1119,forest,compulsory_education,forest,primary,141
1120,forever,high_school_selective_compulsory,forever,primary,141
1121,forget,compulsory_education,forget,primary,141
1122,forgive,high_school_selective_compulsory,forgive,primary,141
1123,fork,compulsory_education,fork,primary,141
1124,form,compulsory_education,form,primary,141
1125,formal,high_school_compulsory,formal,primary,141
1126,format,high_school_selective_compulsory,format,primary,141
1127,former,high_school_compulsory,former,primary,142
1128,fortunately,high_school_compulsory,fortunately,primary,142
1129,forty,compulsory_education,forty,primary,142
1130,forward,high_school_compulsory,forward,primary,142
1131,found,high_school_selective_compulsory,found,primary,142
1132,foundation,high_school_selective_compulsory,foundation,primary,142
1133,fountain,high_school_selective_compulsory,fountain,primary,142
1134,four,compulsory_education,four,primary,142
1135,fourteen,compulsory_education,fourteen,primary,142
1136,fourth,compulsory_education,fourth,primary,142
1137,fox,high_school_selective_compulsory,fox,primary,142
1138,France,compulsory_education,France,primary,142
1139,frank,high_school_compulsory,frank,primary,142
1140,free,compulsory_education,free,primary,142
1141,freedom,high_school_selective_compulsory,freedom,primary,142
1142,freeze,high_school_selective_compulsory,freeze,primary,142
1143,French,compulsory_education,French,primary,142
1144,frequency,high_school_selective_compulsory,frequency,primary,142
1145,frequently,high_school_compulsory,frequently,primary,142
1146,fresh,compulsory_education,fresh,primary,142
1147,friction,high_school_selective_compulsory,friction,primary,142
1148,Friday,compulsory_education,Friday,primary,142
1149,fridge (refrigerator),compulsory_education,fridge,primary,142
