sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id
92,almost,almost,almost,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
93,alone,alone,alone,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
94,along,along,along,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
95,alongside**,alongside,alongside,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
96,aloud,aloud,aloud,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
97,already,already,already,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
98,also,also,also,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
99,alternative**,alternative,alternative,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
100,although,although,although,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
101,altogether**,altogether,altogether,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
102,always,always,always,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
103,a.m.*,a.m.,a.m.,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
104,amateur**,amateur,amateur,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
105,amazing*,amazing,amazing,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
106,ambition**,ambition,ambition,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
107,ambitious**,ambitious,ambitious,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
108,ambulance**,ambulance,ambulance,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
109,America,America,America,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
110,American,American,American,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
111,among,among,among,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
112,amount*,amount,amount,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
113,amuse**,amuse,amuse,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
114,analyse (analyze)**,analyse (analyze),analyse,analyze,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
115,ancestor**,ancestor,ancestor,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
116,ancient,ancient,ancient,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
117,and,and,and,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
118,anger**,anger,anger,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
119,angle**,angle,angle,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
120,angry,angry,angry,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
121,animal,animal,animal,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
122,ankle**,ankle,ankle,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
123,announce*,announce,announce,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
124,annoy**,annoy,annoy,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
125,annual*,annual,annual,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
126,another,another,another,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
127,answer,answer,answer,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
128,ant,ant,ant,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
129,anticipate**,anticipate,anticipate,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
130,antique**,antique,antique,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
