sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id,coverage_status,provisional_legacy_words
817,distinct**,distinct,distinct,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
819,distribution**,distribution,distribution,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
832,dolphin*,dolphin,dolphin,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
833,domain**,domain,domain,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
834,domestic**,domestic,domestic,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
835,dominate**,dominate,dominate,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
836,donate*,donate,donate,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
848,dragon*,dragon,dragon,,*,high_school_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
849,drama**,drama,drama,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
850,dramatic**,dramatic,dramatic,,**,high_school_selective_compulsory,word,D,144,136,moe-hs-english-2017-2020-appendix-2,not_covered,
860,drought*,drought,drought,,*,high_school_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
864,due to*,due to,due to,,*,high_school_compulsory,multiword,D,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
866,duration**,duration,duration,,**,high_school_selective_compulsory,word,D,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
886,economic**,economic,economic,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
892,efficient**,efficient,efficient,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
901,elderly**,elderly,elderly,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
902,election**,election,election,,**,high_school_selective_compulsory,word,E,145,137,moe-hs-english-2017-2020-appendix-2,not_covered,
906,element*,element,element,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
