record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0032,acquire,,acquire,32,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0033,across,,across,33,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0034,act,,act,34,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0035,action,,action,35,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0036,active,,active,36,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0037,activity,,activity,37,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0038,actor,,actor,38,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0039,actress,,actress,39,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0040,actually,,actually,40,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0041,AD,,AD,41,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0042,adapt,,adapt,42,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0043,adaptation,,adaptation,43,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0044,add,,add,44,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0045,addict,,addict,45,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0046,addition,,addition,46,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0047,address,,address,47,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0048,adjust,,adjust,48,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0049,administration,,administration,49,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0050,admire,,admire,50,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0051,admit,,admit,51,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0052,adopt,,adopt,52,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0053,adorable,,adorable,53,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0054,adult,,adult,54,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0055,advance,,advance,55,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0056,advantage,,advantage,56,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0057,adventure,,adventure,57,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
