phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
much as,much as,2,junior,true,r,much_as%4:02:00::,false,26,evidence_ready_review,52.549,false
mental health,mental health,2,senior_high,true,n,mental_health%1:26:00::,false,37,evidence_ready_review,52.479,false
stand firm,stand firm,2,senior_high,true,v,stand_firm%2:32:00::|stand_firm%2:33:00::,false,18,evidence_ready_review,52.479,false
work at,work at,2,junior,true,v,work_at%2:41:01::,false,18,evidence_ready_review,52.479,false
far right,far right,2,junior,true,a,far-right%5:00:00:right:03,false,36,evidence_ready_review,52.095,false
grow up,grow up,2,junior,true,v,grow_up%2:41:00::,true,13,evidence_ready_review,52.074,false
pay for,pay for,2,junior,true,v,pay_for%2:41:00::,true,13,evidence_ready_review,52.074,false
world war,world war,2,junior,true,n,world_war%1:04:00::,true,27,evidence_ready_review,52.074,false
at the same time,at the same time,4,junior,true,r,at_the_same_time%4:02:03::|at_the_same_time%4:02:05::|at_the_same_time%4:02:06::,false,29,evidence_ready_review,52.069,false
at once,at once,2,junior,true,r,at_once%4:02:00::|at_once%4:02:03::,false,25,evidence_ready_review,52.004,false
find out,find out,2,junior,true,v,find_out%2:31:00::|find_out%2:31:01::|find_out%2:32:00::|find_out%2:32:01::,false,17,evidence_ready_review,51.699,false
responsible for,responsible for,2,junior,true,a,responsible_for%5:00:00:causative:00,false,34,evidence_ready_review,51.293,false
social media,social media,2,cet4,true,n,social_media%1:10:01::,false,34,evidence_ready_review,51.293,false
get in,get in,2,junior,true,v,get_in%2:38:00::|get_in%2:38:01::|get_in%2:40:01::|get_in%2:41:00::,true,12,evidence_ready_review,51.004,false
get into,get into,2,junior,true,v,get_into%2:29:00::|get_into%2:32:00::|get_into%2:38:00::|get_into%2:40:00::|get_into%2:42:00::,true,12,evidence_ready_review,51.004,false
go on,go on,2,junior,true,v,go_on%2:30:00::|go_on%2:32:00::|go_on%2:35:00::|go_on%2:38:00::|go_on%2:42:00::,true,12,evidence_ready_review,51.004,false
shut up,shut up,2,junior,true,a|v,shut_up%2:30:00::|shut_up%2:32:00::|shut_up%2:35:00::|shut_up%5:00:00:confined:00,true,12,evidence_ready_review,51.004,false
wake up,wake up,2,junior,true,v,wake_up%2:29:00::|wake_up%2:29:01::,true,12,evidence_ready_review,51.004,false
work on,work on,2,junior,true,v,work_on%2:36:00::|work_on%2:41:00::,true,12,evidence_ready_review,51.004,false
can do,can do,2,junior,true,a,can-do%5:00:00:dynamic:00,false,33,evidence_ready_review,50.875,false
and so,and so,2,junior,true,r,and_so%4:02:00::,false,23,evidence_ready_review,50.85,false
at a time,at a time,3,junior,true,r,at_a_time%4:02:00::,false,23,evidence_ready_review,50.85,false
to that,to that,2,junior,true,r,to_that%4:02:00::,false,23,evidence_ready_review,50.85,false
close up,close up,2,junior,true,n|r|v,close-up%1:06:01::|close_up%2:32:00::|close_up%2:35:00::|close_up%2:35:01::|close_up%2:41:00::|close_up%4:02:00::,true,8,evidence_ready_review,50.699,false
belong to,belong to,2,junior,true,v,belong_to%2:42:00::,false,15,evidence_ready_review,50.0,false
give up,give up,2,junior,true,v,give_up%2:31:00::|give_up%2:33:00::|give_up%2:33:01::|give_up%2:34:00::|give_up%2:40:00::|give_up%2:40:01::|give_up%2:40:02::|give_up%2:40:03::|give_up%2:40:05::|give_up%2:41:00::|give_up%2:41:05::|give_up%2:42:00::,true,11,evidence_ready_review,49.85,false
